x1,x2,y
-5.1087852852899704,7.894444066406154,1.0
-5.3458702429570275,4.540791528176943,0.0
-4.015572639706693,7.790337096086854,1.0
-5.527686011422479,7.143692768689726,1.0
-4.649386507508028,8.280432384076121,1.0
-4.352830465917867,4.427773500599499,0.0
-5.606119841535663,3.576696655843965,0.0
-5.61126381783817,4.042985076846304,0.0
-4.836993309851978,4.548815397318948,0.0
-5.706307484922569,6.967393018130706,1.0
-5.527372915184716,3.7998559926997317,0.0
-5.409846044567615,7.398433457363328,1.0
-5.168236820737284,4.096873076366299,0.0
-4.780469059806632,7.864347698127103,1.0
-4.879735906644036,8.27384692474608,1.0
-4.066241306972531,7.33036713495024,1.0
-5.052799555718771,4.156406984377172,0.0
-4.418890754838761,7.513298167443259,1.0
-5.487791800315463,4.48976568000663,0.0
-4.215786195006052,7.602668483815468,1.0
-4.850974345512926,7.769975859970834,1.0
-5.300736091807995,8.290885655058284,1.0
-4.2027910868257035,4.396359624856993,0.0
-5.214380411897762,4.393319821194315,0.0
-5.4540956869452355,4.016230323567544,0.0
-4.732490247753455,7.817771504240387,1.0
-4.430567253950468,7.89942942025392,1.0
-5.69852796264546,4.656736064721097,0.0
-5.498538389759551,7.834926570876666,1.0
-5.731802918068417,3.7673333084960814,0.0
-5.412681054705228,4.160528173927739,0.0
-5.444800345832533,3.878768554998385,0.0
-3.8672335851877495,7.672461258422472,1.0
-5.737121978779035,4.302158821121807,0.0
-5.342848216183887,9.053869831187155,1.0
-4.398362599160821,8.142014191984993,1.0
-5.676877962102873,3.911726250740889,0.0
-5.066240149585655,3.5790503021699283,0.0
-5.497259602956953,4.277955047796218,0.0
-4.140536559163203,7.603293587914127,1.0
-4.496769228695019,7.687556386281669,1.0
-4.744008926723761,7.902025322435621,1.0
-6.480852501409373,4.461358492950046,0.0
-4.046167033758531,8.506117959120926,1.0
-5.113992408552977,7.693600996672949,1.0
-6.1555180565888366,3.9761436587227874,0.0
-5.205700391797279,4.705079349541144,0.0
-5.642079925043112,3.6691616311094055,0.0
-5.583588092037554,4.710833928094736,0.0
-5.100953121717849,8.04526220794695,1.0
-4.501847605051503,7.691639695746554,1.0
-5.374583221003466,4.600652667471408,0.0
-5.3865890246746755,3.605226550470335,0.0
-4.169845081178029,7.053891319827722,1.0
-6.095511427621911,4.138983604111976,0.0
-4.405330174785963,7.36793869723616,1.0
-6.287733015092022,4.212092688737604,0.0
-6.506845876008256,3.767739432208398,0.0
-5.078570861741181,7.641035072763895,1.0
-5.060692105612713,4.817300465792168,0.0
-6.56004664113949,3.130791249116961,0.0
-5.384730885220767,3.595894712925565,0.0
-4.038182282815491,8.359185812357689,1.0
-5.243453188996592,3.6049609958752242,0.0
-5.888888476470672,4.7848063254410675,0.0
-4.66596800881753,7.872338927052441,1.0
-5.461187906774947,3.931488427027464,0.0
-5.259466301510539,7.523130274360526,1.0
-4.6163493641343045,4.05105258121427,0.0
-6.0368052457312835,3.516270422149386,0.0
-5.2376895856563515,5.232042437997286,0.0
-5.363242275552001,7.803244723162455,1.0
-4.666629769448238,4.963237755190457,0.0
-5.175315601244218,7.199981593709153,1.0
-4.111255004732482,7.418316838483169,1.0
-4.9237819916882755,7.951468198557601,1.0
-4.025983317642749,7.677012670106592,1.0
